PROBAB  STACK VIRADA NPARTI NRAISE POSICA BIGBLI  NFOLD STACKM    POT POTTOT DEALER  NJOGO  SAIDA 
0.2237 0.1011 0.0000 1.0000 0.3000 0.4000 0.0010 0.0000 0.0970 0.0000 0.0106 0.1000 1.0000 0.0400 
0.2237 0.1049 0.0000 1.0000 0.9000 0.4000 0.0011 0.0000 0.0951 0.0044 0.0929 0.1000 1.0000 0.0000 
0.4186 0.0953 0.0000 0.2000 0.0000 0.9000 0.0020 0.0000 0.0000 0.0010 0.0030 0.2000 1.0000 0.0105 
0.4186 0.0946 0.0000 0.2000 0.1000 0.9000 0.0020 0.0000 0.0000 0.0020 0.0060 0.2000 1.0000 0.0213 
0.4186 0.0929 0.0000 0.2000 0.1000 0.9000 0.0020 0.0000 0.0000 0.0040 0.0101 0.2000 1.0000 0.0217 
0.4186 0.0913 0.0000 0.2000 0.1000 0.9000 0.0020 0.0000 0.0000 0.0061 0.0142 0.2000 1.0000 0.0222 
0.4186 0.0896 0.0000 0.2000 0.1000 0.9000 0.0020 0.0000 0.0000 0.0081 0.0183 0.2000 1.0000 0.0227 
0.4186 0.0879 0.0000 0.2000 0.1000 0.9000 0.0020 0.0000 0.0000 0.0102 0.0225 0.2000 1.0000 0.0000 
0.2247 0.0845 0.0000 0.2000 0.1000 0.8000 0.0020 0.0000 0.0000 0.0020 0.0060 0.7000 1.0000 0.0000 
0.2916 0.0825 0.0000 0.2000 0.0000 0.9000 0.0040 0.0000 0.0000 0.0020 0.0060 0.2000 1.0000 0.0244 
0.2916 0.0810 0.0000 0.2000 0.1000 0.9000 0.0040 0.0000 0.0000 0.0040 0.0121 0.2000 1.0000 0.0000 
0.1989 0.0769 0.0000 0.2000 0.1000 0.8000 0.0040 0.0000 0.0000 0.0040 0.0121 0.7000 1.0000 0.0000 
0.3238 0.0729 0.0000 0.2000 0.0000 0.9000 0.0081 0.0000 0.0000 0.0040 0.0121 0.2000 1.0000 0.0556 
0.3238 0.0697 0.0000 0.2000 0.1000 0.9000 0.0082 0.0000 0.0000 0.0082 0.0246 0.2000 1.0000 0.0000 
0.2247 0.0615 0.0000 0.2000 0.1000 0.8000 0.0082 0.0000 0.0000 0.0082 0.0246 0.7000 1.0000 0.0000 
0.4277 0.0533 0.0000 0.2000 0.0000 0.9000 0.0164 0.0000 0.0000 0.0082 0.0246 0.2000 1.0000 0.1538 
0.4277 0.0462 0.0000 0.2000 0.1000 0.9000 0.0168 0.0000 0.0000 0.0168 0.0504 0.2000 1.0000 0.0000 
0.3807 0.0294 0.0000 0.2000 0.1000 0.8000 0.0168 0.0000 0.0000 0.0168 0.0504 0.7000 1.0000 0.5714 
0.3807 0.0130 0.0000 0.2000 0.1000 0.8000 0.0174 0.0000 0.0000 0.0348 0.0870 0.7000 1.0000 1.0000 
0.4476 0.0798 0.0000 0.2000 0.0000 0.9000 0.0336 0.0000 0.0000 0.0168 0.0504 0.2000 1.0000 0.2105 
0.4476 0.0664 0.0000 0.2000 0.1000 0.9000 0.0354 0.0000 0.0000 0.0354 0.1062 0.2000 1.0000 0.5333 
0.4476 0.0333 0.0000 0.2000 0.1000 0.9000 0.0381 0.0000 0.0000 0.0762 0.1905 0.2000 1.0000 1.0000 
