PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.1823 0.1047 0.0000 0.5000 0.2000 1.0000 0.0011 0.5000 0.0832 0.0011 0.0573 0.1000 1.0000 0.0000 
0.2916 0.1017 0.0000 0.5000 0.3000 0.9000 0.0010 0.5000 0.0670 0.0005 0.0323 0.2000 1.0000 0.0000 
0.1429 0.1006 0.0000 0.6000 0.2000 0.8000 0.0010 0.4000 0.0613 0.0000 0.0216 0.3000 1.0000 0.0000 
0.2520 0.0996 0.0000 0.6000 0.1000 0.7000 0.0010 0.4000 0.0558 0.0000 0.0113 0.4000 1.0000 0.0491 
0.3163 0.0959 0.6000 0.4000 0.1000 0.7000 0.0010 0.0000 0.0537 0.0050 0.0236 0.4000 1.0000 0.0000 
0.1109 0.0950 0.0000 0.7000 0.1000 0.6000 0.0010 0.3000 0.0704 0.0000 0.0138 0.5000 1.0000 0.0000 
0.2652 0.0954 0.0000 0.7000 0.1000 0.5000 0.0010 0.3000 0.0693 0.0000 0.0181 0.6000 1.0000 0.0000 
0.1866 0.0946 0.0000 0.9000 0.2000 0.4000 0.0010 0.1000 0.0631 0.0000 0.0102 0.7000 1.0000 0.0000 
0.2652 0.0941 0.0000 1.0000 0.1000 0.3000 0.0010 0.0000 0.0618 0.0000 0.0049 0.8000 1.0000 0.0249 
0.2652 0.0938 0.0000 0.5000 0.2000 0.3000 0.0010 0.5000 0.0632 0.0024 0.0269 0.8000 1.0000 0.0000 
0.2570 0.0917 0.0000 1.0000 0.1000 0.2000 0.0010 0.0000 0.0608 0.0000 0.0041 0.9000 1.0000 0.0000 
0.3306 0.0915 0.0000 1.0000 0.0000 0.1000 0.0010 0.0000 0.0601 0.0000 0.0015 1.0000 1.0000 0.0109 
0.3306 0.0918 0.0000 0.4000 0.2000 0.1000 0.0010 0.6000 0.0610 0.0010 0.0168 1.0000 1.0000 0.0000 
0.3147 0.0919 0.0000 0.4000 0.3000 1.0000 0.0021 0.6000 0.0624 0.0021 0.0402 0.1000 1.0000 0.0000 
0.3528 0.0887 0.0000 0.4000 0.2000 0.9000 0.0020 0.6000 0.0610 0.0010 0.0158 0.2000 1.0000 0.0000 
0.1303 0.0885 0.0000 0.6000 0.1000 0.8000 0.0020 0.4000 0.0608 0.0000 0.0138 0.3000 1.0000 0.0000 
0.1429 0.0882 0.0000 0.5000 0.1000 0.7000 0.0020 0.5000 0.0606 0.0000 0.0105 0.4000 1.0000 0.0000 
0.2905 0.0885 0.0000 1.0000 0.0000 0.6000 0.0020 0.0000 0.0588 0.0000 0.0132 0.5000 1.0000 0.0229 
0.2905 0.0881 0.0000 0.5000 0.2000 0.6000 0.0021 0.5000 0.0599 0.0021 0.0327 0.5000 1.0000 0.0000 
0.4147 0.0865 0.0000 0.9000 0.1000 0.5000 0.0020 0.1000 0.0518 0.0000 0.0141 0.6000 1.0000 0.0806 
0.9518 0.0806 0.6000 0.3000 0.0000 0.5000 0.0021 0.0000 0.0525 0.0071 0.0274 0.6000 1.0000 0.0510 
0.9518 0.0777 0.6000 0.2000 0.2000 0.5000 0.0021 0.1000 0.0533 0.0114 0.0434 0.6000 1.0000 0.0932 
0.9518 0.0719 0.6000 0.2000 0.1000 0.5000 0.0021 0.0000 0.0545 0.0190 0.0657 0.6000 1.0000 0.1943 
0.8866 0.0588 0.8000 0.2000 0.0000 0.5000 0.0022 0.0000 0.0553 0.0334 0.0808 0.6000 1.0000 0.0000 
0.8866 0.0592 0.8000 0.2000 0.1000 0.5000 0.0022 0.1000 0.0531 0.0337 0.0887 0.6000 1.0000 0.1232 
0.8582 0.0523 1.0000 0.2000 0.0000 0.5000 0.0022 0.0000 0.0523 0.0413 0.0967 0.6000 1.0000 0.4194 
0.1673 0.1381 0.0000 1.0000 0.1000 0.4000 0.0020 0.0000 0.0462 0.0000 0.0166 0.7000 1.0000 0.0000 
0.1756 0.1368 0.0000 1.0000 0.0000 0.3000 0.0020 0.0000 0.0434 0.0000 0.0070 0.8000 1.0000 0.0000 
0.1910 0.1394 0.0000 1.0000 0.1000 0.2000 0.0021 0.0000 0.0422 0.0000 0.0261 0.9000 1.0000 0.0000 
0.1568 0.1363 0.0000 1.0000 0.0000 0.1000 0.0020 0.0000 0.0406 0.0000 0.0030 1.0000 1.0000 0.0000 
0.1892 0.1366 0.0000 0.6000 0.1000 1.0000 0.0041 0.4000 0.0385 0.0041 0.0361 0.1000 1.0000 0.0000 
0.4007 0.1319 0.0000 0.3000 0.1000 0.9000 0.0041 0.7000 0.0377 0.0020 0.0159 0.2000 1.0000 0.0590 
0.4426 0.1251 0.6000 0.2000 0.0000 0.9000 0.0041 0.0000 0.0380 0.0099 0.0239 0.2000 1.0000 0.0000 
0.3304 0.1251 0.8000 0.2000 0.0000 0.9000 0.0041 0.0000 0.0380 0.0099 0.0239 0.2000 1.0000 0.0000 
0.1263 0.1251 1.0000 0.2000 0.0000 0.9000 0.0041 0.0000 0.0380 0.0099 0.0239 0.2000 1.0000 0.0000 
0.1263 0.1257 1.0000 0.2000 0.1000 0.9000 0.0041 0.1000 0.0382 0.0099 0.0285 0.2000 1.0000 0.0000 
0.3528 0.1255 0.0000 0.5000 0.1000 0.8000 0.0041 0.5000 0.0381 0.0000 0.0273 0.3000 1.0000 0.0000 
0.3306 0.1250 0.0000 0.5000 0.1000 0.7000 0.0041 0.5000 0.0380 0.0000 0.0233 0.4000 1.0000 0.0000 
0.3481 0.1229 0.0000 0.5000 0.0000 0.6000 0.0040 0.5000 0.0333 0.0000 0.0060 0.5000 1.0000 0.0327 
0.3481 0.1211 0.0000 0.5000 0.1000 0.6000 0.0041 0.0000 0.0297 0.0041 0.0248 0.5000 1.0000 0.0354 
0.5318 0.1189 0.6000 0.5000 0.0000 0.6000 0.0042 0.0000 0.0302 0.0085 0.0426 0.5000 1.0000 0.0000 
0.4212 0.1189 0.8000 0.5000 0.0000 0.6000 0.0042 0.0000 0.0302 0.0085 0.0426 0.5000 1.0000 0.0000 
0.4589 0.1189 1.0000 0.5000 0.0000 0.6000 0.0042 0.0000 0.0302 0.0085 0.0426 0.5000 1.0000 0.0000 
0.2237 0.1179 0.0000 1.0000 0.1000 0.5000 0.0041 0.0000 0.0377 0.0000 0.0344 0.6000 1.0000 0.0000 
0.1608 0.1156 0.0000 0.9000 0.0000 0.4000 0.0041 0.1000 0.0329 0.0000 0.0142 0.7000 1.0000 0.0000 
0.2294 0.1147 0.0000 0.8000 0.0000 0.3000 0.0040 0.2000 0.0326 0.0000 0.0060 0.8000 1.0000 0.0000 
0.4186 0.1147 0.0000 0.9000 0.0000 0.2000 0.0040 0.1000 0.0286 0.0000 0.0060 0.9000 1.0000 0.0351 
0.4186 0.1130 0.0000 0.4000 0.1000 0.2000 0.0041 0.5000 0.0292 0.0041 0.0268 0.9000 1.0000 0.0375 
0.4186 0.1099 0.0000 0.2000 0.1000 0.2000 0.0042 0.2000 0.0295 0.0084 0.0376 0.9000 1.0000 0.0569 
0.5764 0.1043 0.6000 0.2000 0.0000 0.2000 0.0042 0.0000 0.0297 0.0148 0.0442 0.9000 1.0000 0.0000 
0.5764 0.1057 0.6000 0.2000 0.1000 0.2000 0.0042 0.1000 0.0301 0.0150 0.0589 0.9000 1.0000 0.0000 
0.1429 0.1005 0.0000 1.0000 0.0000 0.1000 0.0040 0.0000 0.0266 0.0000 0.0060 1.0000 1.0000 0.0000 
0.1459 0.1011 0.0000 0.2000 0.0000 0.9000 0.0081 0.8000 0.0268 0.0040 0.0121 0.2000 1.0000 0.0000 
0.3226 0.1019 0.0000 0.4000 0.0000 0.8000 0.0082 0.6000 0.0270 0.0000 0.0204 0.3000 1.0000 0.0801 
0.6892 0.0949 0.6000 0.4000 0.0000 0.8000 0.0083 0.1000 0.0273 0.0083 0.0331 0.3000 1.0000 0.0000 
0.5610 0.0949 0.8000 0.4000 0.0000 0.8000 0.0083 0.1000 0.0273 0.0083 0.0331 0.3000 1.0000 0.0000 
0.4610 0.0949 1.0000 0.4000 0.0000 0.8000 0.0083 0.1000 0.0273 0.0083 0.0331 0.3000 1.0000 0.0000 
0.5184 0.0937 0.0000 0.5000 0.0000 0.7000 0.0082 0.5000 0.0270 0.0000 0.0204 0.4000 1.0000 0.1742 
0.5184 0.0794 0.0000 0.2000 0.1000 0.7000 0.0084 0.3000 0.0277 0.0167 0.0460 0.4000 1.0000 0.0000 
0.7390 0.0805 0.6000 0.2000 0.1000 0.7000 0.0085 0.0000 0.0281 0.0170 0.0614 0.4000 1.0000 0.1827 
0.7390 0.0679 0.6000 0.2000 0.1000 0.7000 0.0088 0.0000 0.0290 0.0327 0.0955 0.4000 1.0000 0.0000 
0.1739 0.0638 0.0000 0.7000 0.0000 0.6000 0.0082 0.3000 0.0190 0.0000 0.0288 0.5000 1.0000 0.0000 
0.2401 0.0628 0.0000 0.6000 0.0000 0.5000 0.0081 0.4000 0.0187 0.0000 0.0121 0.6000 1.0000 0.0000 
0.2916 0.0628 0.0000 0.7000 0.0000 0.4000 0.0081 0.3000 0.0187 0.0000 0.0121 0.7000 1.0000 0.1290 
0.2916 0.0564 0.0000 0.2000 0.1000 0.4000 0.0084 0.5000 0.0193 0.0084 0.0448 0.7000 1.0000 0.0000 
0.1971 0.0547 0.0000 0.8000 0.0000 0.3000 0.0081 0.2000 0.0187 0.0000 0.0121 0.8000 1.0000 0.1481 
